"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2021",11,11,0,100,0,274126.818181818,2551.27272727273,107
"2","01002","2021",3,3,0,100,0,163766.666666667,1290,120.666666666667
"3","01004","2021",249,147,102,59.0361445783133,40.9638554216867,195581.831325301,2313.82329317269,86.3895582329317
"4","01005","2021",22,18,4,81.8181818181818,18.1818181818182,290837.590909091,2970.04545454545,99.5909090909091
"5","01006","2021",6,5,1,83.3333333333333,16.6666666666667,151300,1415.33333333333,112.333333333333
"6","01007","2021",25,22,3,88,12,233142.4,2352.4,103.52
"7","01008","2021",12,12,0,100,0,214693.333333333,2347.08333333333,89.9166666666667
"8","01009","2021",4,2,2,50,50,189000,2001.25,93.75
"9","01010","2021",16,14,2,87.5,12.5,200618.125,1992.0625,108.3125
"10","01011","2021",4,4,0,100,0,202075,1953.5,107
"11","01012","2021",13,13,0,100,0,156485.538461538,1476.30769230769,107
"12","01013","2021",1,1,0,100,0,115000,1250,92
"13","01014","2021",29,23,6,79.3103448275862,20.6896551724138,197483.448275862,1810.44827586207,111.275862068966
"14","01015","2021",5,5,0,100,0,248160,2250.4,109.6
"15","01016","2021",6,6,0,100,0,173811.666666667,1688.66666666667,100.5
"16","01017","2021",17,12,5,70.5882352941177,29.4117647058824,81135.2352941177,1063.58823529412,79.4705882352941
"17","01021","2021",21,16,5,76.1904761904762,23.8095238095238,310160,2897.38095238095,116.904761904762
"18","01022","2021",18,16,2,88.8888888888889,11.1111111111111,157456.888888889,1799.55555555556,91.9444444444444
"19","01024","2021",42,39,3,92.8571428571429,7.14285714285714,247120.785714286,2254.92857142857,111.309523809524
"20","01025","2021",42,41,1,97.6190476190476,2.38095238095238,210971.047619048,1932.14285714286,106.595238095238
"21","01026","2021",8,7,1,87.5,12.5,182984,1720.25,107.25
"22","01027","2021",29,19,10,65.5172413793103,34.4827586206897,269974.482758621,2926.55172413793,88.448275862069
"23","01028","2021",11,11,0,100,0,244000,2358.27272727273,107.545454545455
"24","01029","2021",10,10,0,100,0,151174.1,1631.7,97.7
"25","01030","2021",18,5,13,27.7777777777778,72.2222222222222,149222.444444444,2102.44444444444,68.0555555555556
"26","01031","2021",45,19,26,42.2222222222222,57.7777777777778,127400,1585.42222222222,76.4888888888889
"27","01032","2021",28,18,10,64.2857142857143,35.7142857142857,284267.964285714,2885.96428571429,103.035714285714
"28","01033","2021",283,96,187,33.9222614840989,66.0777385159011,197704.51590106,2465.66431095406,79.9469964664311
"29","01034","2021",174,91,83,52.2988505747126,47.7011494252874,176258.620689655,1916.37356321839,92.132183908046
"30","01036","2021",16,16,0,100,0,178076.625,1482.0625,119.8125
"31","01037","2021",9,9,0,100,0,127755.555555556,1162,106.555555555556
"32","01038","2021",10,10,0,100,0,216233,2076.3,111
"33","01039","2021",8,8,0,100,0,149720.875,1428.25,111
"34","01040","2021",5,5,0,100,0,168600,1773.4,96
"35","01041","2021",16,15,1,93.75,6.25,207315.625,2107.25,99.9375
"36","01042","2021",3,3,0,100,0,309000,2154.33333333333,143.666666666667
"37","01043","2021",66,49,17,74.2424242424242,25.7575757575758,358529.257575758,3607.87878787879,103.606060606061
"38","01044","2021",9,9,0,100,0,305734.222222222,3186.44444444444,101.555555555556
"39","01045","2021",5,4,1,80,20,312000,2365.2,152.4
"40","01046","2021",18,18,0,100,0,267478.611111111,2060.11111111111,135.055555555556
"41","01047","2021",12,12,0,100,0,313300,3136.5,99.3333333333333
"42","01049","2021",52,45,7,86.5384615384615,13.4615384615385,346828.307692308,3500.88461538462,101.173076923077
"43","01050","2021",7,7,0,100,0,231495,2053.14285714286,116.857142857143
"44","01051","2021",3,3,0,100,0,132333.333333333,1037.66666666667,130.666666666667
"45","01052","2021",6,6,0,100,0,548843.333333333,2739.66666666667,185
"46","01053","2021",713,153,560,21.4586255259467,78.5413744740533,151659.259467041,1968.80084151473,78.4824684431978
"47","01054","2021",12,12,0,100,0,369145.833333333,2968.5,131.416666666667
"48","01056","2021",8,8,0,100,0,100875,1165.875,89.25
"49","01057","2021",11,11,0,100,0,165174.090909091,1812.45454545455,100
"50","01058","2021",15,13,2,86.6666666666667,13.3333333333333,168864.333333333,2077.86666666667,85.5333333333333
"51","01060","2021",12,7,5,58.3333333333333,41.6666666666667,110108.333333333,1019.25,109.166666666667
