"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2017",8,8,0,100,0,179955,1902,93
"2","01002","2017",2,2,0,100,0,77750,932.5,80
"3","01004","2017",99,61,38,61.6161616161616,38.3838383838384,167367.515151515,1995.90909090909,85.2727272727273
"4","01005","2017",13,6,7,46.1538461538462,53.8461538461538,199373.846153846,1967.30769230769,108.384615384615
"5","01007","2017",16,16,0,100,0,200008.25,1693.3125,125.625
"6","01008","2017",7,7,0,100,0,155068.571428571,1807.42857142857,85.4285714285714
"7","01009","2017",2,1,1,50,50,83000,1176.5,69.5
"8","01010","2017",11,11,0,100,0,163493.181818182,1619.90909090909,99.5454545454545
"9","01011","2017",1,1,0,100,0,190000,1939,98
"10","01012","2017",3,3,0,100,0,111833.333333333,1023.66666666667,109.333333333333
"11","01013","2017",3,3,0,100,0,66333.3333333333,785,77.6666666666667
"12","01014","2017",15,7,8,46.6666666666667,53.3333333333333,93551.6,1217.86666666667,72.1333333333333
"13","01015","2017",3,3,0,100,0,187466.666666667,1344.66666666667,140.333333333333
"14","01016","2017",2,2,0,100,0,182396.5,1255,142.5
"15","01017","2017",3,1,2,33.3333333333333,66.6666666666667,64483.3333333333,801.333333333333,82
"16","01021","2017",5,3,2,60,40,202450,2366.6,90.6
"17","01022","2017",7,6,1,85.7142857142857,14.2857142857143,196795,1883.28571428571,105.142857142857
"18","01024","2017",11,10,1,90.9090909090909,9.09090909090909,185270.909090909,1815.18181818182,103
"19","01025","2017",14,14,0,100,0,186898.571428571,1730.71428571429,108.142857142857
"20","01026","2017",3,3,0,100,0,183419.666666667,2022.33333333333,90.6666666666667
"21","01027","2017",12,11,1,91.6666666666667,8.33333333333333,235079.583333333,2417.5,96.1666666666667
"22","01028","2017",4,4,0,100,0,207475,2057.75,108.5
"23","01029","2017",5,5,0,100,0,112004,1073.2,103.2
"24","01030","2017",10,7,3,70,30,204632.4,2450.6,87.1
"25","01031","2017",16,6,10,37.5,62.5,112425,1341.5,77.6875
"26","01032","2017",15,11,4,73.3333333333333,26.6666666666667,270656.666666667,2484.13333333333,107.4
"27","01033","2017",100,33,67,33,67,176039.02,2177.4,80.01
"28","01034","2017",52,21,31,40.3846153846154,59.6153846153846,136716.057692308,1647,85.6153846153846
"29","01035","2017",4,4,0,100,0,169500,2016.75,86.75
"30","01036","2017",11,11,0,100,0,242194.545454545,1934.27272727273,134.727272727273
"31","01038","2017",2,2,0,100,0,177650,1453,126
"32","01039","2017",3,3,0,100,0,247733.333333333,1477.33333333333,169.666666666667
"33","01040","2017",4,4,0,100,0,175150,1394.75,133
"34","01041","2017",9,9,0,100,0,188983.777777778,1966,100.777777777778
"35","01042","2017",3,3,0,100,0,262266.666666667,2243.66666666667,117.333333333333
"36","01043","2017",22,21,1,95.4545454545455,4.54545454545455,355013.636363636,2972.27272727273,120.863636363636
"37","01044","2017",2,2,0,100,0,254625,3203,86.5
"38","01045","2017",1,1,0,100,0,271200,2465,110
"39","01046","2017",5,5,0,100,0,240197,1820.6,129.6
"40","01047","2017",7,7,0,100,0,173231.428571429,1489.57142857143,119.857142857143
"41","01049","2017",23,17,6,73.9130434782609,26.0869565217391,239517.739130435,2664.30434782609,94.5217391304348
"42","01050","2017",4,4,0,100,0,168207.5,1713.5,97.5
"43","01052","2017",3,3,0,100,0,245626.666666667,2337.33333333333,101.333333333333
"44","01053","2017",246,57,189,23.1707317073171,76.8292682926829,128290.239837398,1630.79674796748,79.1626016260163
"45","01054","2017",8,8,0,100,0,241212.5,2105.125,120.625
"46","01057","2017",5,5,0,100,0,144204,1932.4,75
"47","01058","2017",11,10,1,90.9090909090909,9.09090909090909,164413.636363636,1498.54545454545,109.090909090909
"48","01060","2017",4,2,2,50,50,81575,1393,75.75
"49","01061","2017",5,4,1,80,20,148474,1672.4,89.4
"50","01062","2017",5,4,1,80,20,318460,2426.8,134.4
"51","01063","2017",2,2,0,100,0,245240,1900,128
"52","01064","2017",7,7,0,100,0,83536.5714285714,1002.85714285714,86.2857142857143
"53","01065","2017",5,5,0,100,0,243244,1951,136.4
"54","01068","2017",9,8,1,88.8888888888889,11.1111111111111,92220,1118.44444444444,86.3333333333333
"55","01069","2017",10,7,3,70,30,185730,1677.5,109.9
"56","01071","2017",36,21,15,58.3333333333333,41.6666666666667,432758.888888889,4019.5,105.666666666667
"57","01072","2017",25,23,2,92,8,218327.96,1956.88,114.76
"58","01074","2017",10,8,2,80,20,166960,1968.8,85.9
"59","01075","2017",11,5,6,45.4545454545455,54.5454545454545,171373.636363636,2000.72727272727,85.3636363636364
"60","01076","2017",2,1,1,50,50,47300,871.5,49
"61","01077","2017",2,1,1,50,50,124500,1250,93.5
