"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2022",10,10,0,100,0,317196.2,2773.7,118
"2","01002","2022",3,3,0,100,0,330966.666666667,2575.66666666667,135.333333333333
"3","01004","2022",217,128,89,58.9861751152074,41.0138248847926,204375.921658986,2471.31797235023,83.0046082949309
"4","01005","2022",35,32,3,91.4285714285714,8.57142857142857,337132.657142857,3109.8,107.228571428571
"5","01006","2022",1,1,0,100,0,135000,1421,95
"6","01007","2022",45,41,4,91.1111111111111,8.88888888888889,232418.222222222,2279.6,104.933333333333
"7","01008","2022",6,6,0,100,0,238000,2731.33333333333,89.6666666666667
"8","01009","2022",4,4,0,100,0,297500,2598.25,112.75
"9","01010","2022",9,8,1,88.8888888888889,11.1111111111111,206761.111111111,2262,95
"10","01011","2022",3,1,2,33.3333333333333,66.6666666666667,118666.666666667,1271,92
"11","01012","2022",3,3,0,100,0,164000,2345.66666666667,75
"12","01013","2022",7,7,0,100,0,126285.714285714,1528.57142857143,83.4285714285714
"13","01014","2022",29,21,8,72.4137931034483,27.5862068965517,186655.172413793,2121.58620689655,89.6551724137931
"14","01015","2022",12,12,0,100,0,232325,1991.75,108.083333333333
"15","01016","2022",3,3,0,100,0,121289.333333333,1116.33333333333,104.666666666667
"16","01017","2022",16,15,1,93.75,6.25,109564.9375,1376.75,80.0625
"17","01021","2022",16,12,4,75,25,281775,3419,91.375
"18","01022","2022",14,12,2,85.7142857142857,14.2857142857143,163000,1754.64285714286,89.2142857142857
"19","01023","2022",3,3,0,100,0,78333.3333333333,1030.66666666667,85.3333333333333
"20","01024","2022",35,30,5,85.7142857142857,14.2857142857143,247154.571428571,2363.28571428571,105.057142857143
"21","01025","2022",33,30,3,90.9090909090909,9.09090909090909,224826.181818182,2220.21212121212,102.212121212121
"22","01026","2022",10,10,0,100,0,203301,2317.4,92.1
"23","01027","2022",24,20,4,83.3333333333333,16.6666666666667,310030.833333333,3360.83333333333,95.4166666666667
"24","01028","2022",12,12,0,100,0,288155.833333333,3317.41666666667,95.25
"25","01029","2022",10,10,0,100,0,184736,1606.4,109.3
"26","01030","2022",16,6,10,37.5,62.5,213865.5,2503.75,92.4375
"27","01031","2022",33,11,22,33.3333333333333,66.6666666666667,133698.848484848,1856.63636363636,67.8181818181818
"28","01032","2022",29,18,11,62.0689655172414,37.9310344827586,278037.655172414,3345.13793103448,83.2413793103448
"29","01033","2022",261,98,163,37.5478927203065,62.4521072796935,207264.482758621,2483.80459770115,82.9846743295019
"30","01034","2022",148,79,69,53.3783783783784,46.6216216216216,182671.472972973,2081.35810810811,87.3851351351351
"31","01035","2022",2,2,0,100,0,185550,1731.5,106.5
"32","01036","2022",25,25,0,100,0,188312.64,1665.16,111.04
"33","01037","2022",6,6,0,100,0,174290,1962.83333333333,96.1666666666667
"34","01038","2022",15,15,0,100,0,225380,2050.73333333333,113.666666666667
"35","01039","2022",10,10,0,100,0,186400,2236.1,85.5
"36","01040","2022",7,7,0,100,0,174042.857142857,1794.42857142857,102.714285714286
"37","01041","2022",12,10,2,83.3333333333333,16.6666666666667,195916.666666667,2259.83333333333,85.6666666666667
"38","01042","2022",3,3,0,100,0,248000,2435.33333333333,106
"39","01043","2022",44,36,8,81.8181818181818,18.1818181818182,449582.340909091,3981.38636363636,113.136363636364
"40","01044","2022",11,8,3,72.7272727272727,27.2727272727273,305068.181818182,2264.63636363636,130.272727272727
"41","01045","2022",3,2,1,66.6666666666667,33.3333333333333,319666.666666667,3144,107.333333333333
"42","01046","2022",14,14,0,100,0,232833.357142857,2165.5,111.142857142857
"43","01047","2022",14,13,1,92.8571428571429,7.14285714285714,389141.428571429,3550.78571428571,113.285714285714
"44","01049","2022",33,28,5,84.8484848484848,15.1515151515152,370602.121212121,3569.15151515152,106.787878787879
"45","01050","2022",2,2,0,100,0,296405,1799,197
"46","01051","2022",4,4,0,100,0,79250,1170.75,72.75
"47","01052","2022",1,1,0,100,0,165000,2062,80
"48","01053","2022",704,141,563,20.0284090909091,79.9715909090909,155890.184659091,2121.60511363636,74.4730113636364
"49","01054","2022",17,17,0,100,0,361567.647058824,3317.58823529412,119.235294117647
"50","01056","2022",4,4,0,100,0,189000,1622.75,112
"51","01057","2022",5,5,0,100,0,181940,2165.4,90.4
"52","01058","2022",15,14,1,93.3333333333333,6.66666666666667,191073.333333333,1918.86666666667,98.9333333333333
"53","01060","2022",7,7,0,100,0,216614.285714286,2019,118.285714285714
"54","01061","2022",19,17,2,89.4736842105263,10.5263157894737,252021.842105263,2376.89473684211,109.263157894737
"55","01062","2022",10,9,1,90,10,354700,3062.9,112.6
"56","01063","2022",4,4,0,100,0,232250,2392.5,97.5
"57","01064","2022",18,17,1,94.4444444444444,5.55555555555556,201899.277777778,2407.66666666667,89.4444444444444
"58","01065","2022",12,12,0,100,0,266768,2549.33333333333,102.166666666667
"59","01066","2022",5,5,0,100,0,123600,1822.2,85.2
"60","01067","2022",1,1,0,100,0,240000,1860,129
"61","01068","2022",15,13,2,86.6666666666667,13.3333333333333,118256.666666667,1129.93333333333,109.4
"62","01069","2022",17,16,1,94.1176470588235,5.88235294117647,237082.058823529,2404.82352941176,98.1176470588235
"63","01071","2022",105,45,60,42.8571428571429,57.1428571428571,446673.057142857,4709.66666666667,96.9714285714286
"64","01072","2022",39,29,10,74.3589743589744,25.6410256410256,227255.435897436,2437.97435897436,95.3076923076923
"65","01073","2022",12,12,0,100,0,199495.833333333,1954.83333333333,107.833333333333
"66","01074","2022",27,20,7,74.0740740740741,25.9259259259259,229796.296296296,2567.40740740741,91.2592592592593
"67","01075","2022",17,15,2,88.2352941176471,11.7647058823529,288594.117647059,2837.76470588235,105.764705882353
"68","01076","2022",8,8,0,100,0,95650,1114.625,86.375
"69","01077","2022",3,2,1,66.6666666666667,33.3333333333333,153033.333333333,1584.66666666667,91.3333333333333
"70","01078","2022",25,19,6,76,24,497996.4,4475.76,113
"71","01079","2022",6,6,0,100,0,116083.333333333,1424,87.1666666666667
"72","01080","2022",6,6,0,100,0,202065,2092.66666666667,95.1666666666667
"73","01081","2022",16,12,4,75,25,212762.8125,2121.75,110.8125
"74","01082","2022",9,8,1,88.8888888888889,11.1111111111111,233252.111111111,2430.55555555556,101
"75","01083","2022",10,8,2,80,20,263150,2516.3,109
"76","01084","2022",12,12,0,100,0,216583.333333333,2168.33333333333,97.5
"77","01085","2022",2,2,0,100,0,354500,3075.5,126.5
"78","01087","2022",3,3,0,100,0,166666.666666667,2375,71.3333333333333
"79","01088","2022",12,12,0,100,0,345966.666666667,3562.91666666667,98.6666666666667
"80","01089","2022",32,31,1,96.875,3.125,307982.8125,3059.28125,100.34375
"81","01090","2022",3,3,0,100,0,330541.666666667,2768,176.666666666667
"82","01092","2022",19,19,0,100,0,276494.736842105,2512.26315789474,114.105263157895
"83","01093","2022",72,34,38,47.2222222222222,52.7777777777778,217843.333333333,2563.36111111111,84.1666666666667
