"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2014",10,10,0,100,0,180207,1708.9,107.4
"2","01002","2014",3,3,0,100,0,107930,1338,80.3333333333333
"3","01004","2014",125,77,48,61.6,38.4,164579.392,1946.432,85.872
"4","01005","2014",15,12,3,80,20,252109.733333333,2412.2,110.533333333333
"5","01006","2014",1,1,0,100,0,60000,857,70
"6","01007","2014",25,24,1,96,4,176524.88,1694.16,110.96
"7","01008","2014",8,8,0,100,0,170813.75,1800.875,97.875
"8","01009","2014",2,1,1,50,50,145000,1237,107.5
"9","01010","2014",15,14,1,93.3333333333333,6.66666666666667,176520,1984.33333333333,94.5333333333333
"10","01011","2014",4,4,0,100,0,101125,1371.5,98.75
"11","01012","2014",1,1,0,100,0,65000,878,74
"12","01014","2014",14,11,3,78.5714285714286,21.4285714285714,186254.428571429,1669.42857142857,108.642857142857
"13","01015","2014",9,9,0,100,0,159983.888888889,1405.77777777778,105.444444444444
"14","01016","2014",3,3,0,100,0,116800,960.666666666667,115
"15","01017","2014",5,5,0,100,0,65600,1429.4,52
"16","01021","2014",4,4,0,100,0,184000,2214,87
"17","01022","2014",17,11,6,64.7058823529412,35.2941176470588,121185.294117647,1388.58823529412,88.1176470588235
"18","01023","2014",1,1,0,100,0,125200,1170,107
"19","01024","2014",27,25,2,92.5925925925926,7.40740740740741,186506.481481481,1756.66666666667,106.148148148148
"20","01025","2014",26,26,0,100,0,176078.076923077,1622.69230769231,111.884615384615
"21","01026","2014",5,5,0,100,0,118960,1559.6,74.4
"22","01027","2014",9,8,1,88.8888888888889,11.1111111111111,211935.888888889,2508.77777777778,90
"23","01028","2014",4,4,0,100,0,135500,2265.75,74.25
"24","01029","2014",1,1,0,100,0,63000,438,144
"25","01030","2014",9,5,4,55.5555555555556,44.4444444444444,126126.666666667,1743.88888888889,72.1111111111111
"26","01031","2014",12,6,6,50,50,157783.5,1773.41666666667,89.75
"27","01032","2014",22,19,3,86.3636363636364,13.6363636363636,231575.227272727,2282.40909090909,105.227272727273
"28","01033","2014",142,58,84,40.8450704225352,59.1549295774648,175815.316901408,2259.96478873239,79.5211267605634
"29","01034","2014",69,36,33,52.1739130434783,47.8260869565217,136006.304347826,1554.66666666667,89.3768115942029
"30","01035","2014",6,5,1,83.3333333333333,16.6666666666667,160166.666666667,1581.16666666667,105
"31","01036","2014",15,15,0,100,0,142467.333333333,1529.86666666667,101.6
"32","01037","2014",2,2,0,100,0,147500,1652,92
"33","01038","2014",2,2,0,100,0,126000,1100,115.5
"34","01039","2014",4,3,1,75,25,116500,1212,98
"35","01040","2014",3,3,0,100,0,147333.333333333,1015.33333333333,141.666666666667
"36","01041","2014",8,8,0,100,0,170740.75,1641,101.25
"37","01042","2014",2,2,0,100,0,384285.5,2150.5,190
"38","01043","2014",41,33,8,80.4878048780488,19.5121951219512,313599.56097561,2951.07317073171,105.341463414634
"39","01044","2014",3,3,0,100,0,237240,2346,102.333333333333
"40","01046","2014",9,9,0,100,0,172573.333333333,1600.77777777778,111.888888888889
"41","01047","2014",17,17,0,100,0,221327.647058824,2307.41176470588,98.8823529411765
"42","01049","2014",31,23,8,74.1935483870968,25.8064516129032,227074.612903226,2138.1935483871,107.290322580645
"43","01050","2014",6,6,0,100,0,176558.333333333,1775.66666666667,100.166666666667
"44","01051","2014",1,1,0,100,0,155000,3100,50
"45","01052","2014",5,5,0,100,0,268408,1817.4,175
"46","01053","2014",438,105,333,23.972602739726,76.027397260274,127921.97260274,1637.42922374429,79.662100456621
"47","01054","2014",10,10,0,100,0,212745,2006.2,108.2
"48","01056","2014",7,7,0,100,0,109785.714285714,1165.57142857143,94.4285714285714
"49","01058","2014",8,6,2,75,25,128187.5,1335.625,92.375
"50","01060","2014",7,7,0,100,0,146008.571428571,1549.85714285714,108.571428571429
"51","01061","2014",13,11,2,84.6153846153846,15.3846153846154,198686.153846154,1819.30769230769,108.615384615385
"52","01062","2014",10,10,0,100,0,256367,2064,128.3
"53","01063","2014",2,2,0,100,0,77500,831.5,92
"54","01064","2014",9,9,0,100,0,148718.333333333,1698.88888888889,88.7777777777778
"55","01065","2014",5,5,0,100,0,179716.2,1619.2,114.4
"56","01066","2014",1,1,0,100,0,15000,556,27
"57","01067","2014",3,1,2,33.3333333333333,66.6666666666667,182333.333333333,2035,92.3333333333333
