"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"17493","60005","2018",10,9,1,90,10,222500,2208.3,109.6
"17494","60006","2018",4,4,0,100,0,180000,1890.25,88.75
"17495","60007","2018",13,13,0,100,0,226946.153846154,2280.46153846154,106.307692307692
"17496","60008","2018",2,2,0,100,0,209000,1909.5,116
"17497","60009","2018",11,11,0,100,0,235254.545454545,1947.18181818182,127.727272727273
"17498","60010","2018",11,10,1,90.9090909090909,9.09090909090909,209548.181818182,2336.45454545455,91.4545454545455
"17499","60011","2018",3,3,0,100,0,132833.333333333,2619,55.3333333333333
"17500","60012","2018",23,23,0,100,0,202969.565217391,2272.82608695652,92.8695652173913
"17501","60013","2018",7,7,0,100,0,195000,2264.57142857143,91.8571428571429
"17502","60014","2018",2,2,0,100,0,167000,1615,104
"17503","60015","2018",8,8,0,100,0,174312.5,1954.625,98.875
"17504","60016","2018",2,2,0,100,0,64000,1609,39.5
"17505","60017","2018",8,8,0,100,0,142037.5,1312,108.375
"17506","60019","2018",4,4,0,100,0,201500,1898,108.25
"17507","60020","2018",2,2,0,100,0,221000,2116,132
"17508","60021","2018",5,5,0,100,0,115780,1357.4,87
"17509","60022","2018",6,6,0,100,0,372766.666666667,2715.16666666667,136.333333333333
"17510","60024","2018",4,4,0,100,0,226273.5,2121.5,113.5
"17511","60025","2018",9,9,0,100,0,186666.666666667,1767.11111111111,105.555555555556
"17512","60026","2018",3,3,0,100,0,184000,1324.66666666667,140
"17513","60028","2018",3,3,0,100,0,292333.333333333,4060,73.3333333333333
"17514","60029","2018",16,16,0,100,0,177787.4375,2150.4375,83.875
"17515","60030","2018",7,7,0,100,0,151571.428571429,1527.14285714286,102.428571428571
"17516","60031","2018",3,3,0,100,0,172500,2276.66666666667,95
"17517","60032","2018",7,7,0,100,0,149571.428571429,1699,85.5714285714286
"17518","60033","2018",10,10,0,100,0,332135,3416.5,91.6
"17519","60034","2018",7,7,0,100,0,123142.857142857,1178.42857142857,104.571428571429
"17520","60035","2018",1,1,0,100,0,125000,862,145
"17521","60036","2018",2,2,0,100,0,216000,1696.5,126
"17522","60037","2018",4,4,0,100,0,81350,821.25,104.75
"17523","60039","2018",2,2,0,100,0,157300,1727.5,91
"17524","60040","2018",7,7,0,100,0,169357.142857143,2241,75.5714285714286
"17525","60041","2018",16,16,0,100,0,167768.75,1815.75,96.0625
"17526","60042","2018",8,8,0,100,0,214237.5,2068,104.25
"17527","60043","2018",4,4,0,100,0,128663.75,1407.25,86.5
"17528","60044","2018",14,13,1,92.8571428571429,7.14285714285714,159207.142857143,1835.57142857143,89.5
"17529","60045","2018",7,5,2,71.4285714285714,28.5714285714286,250800,2692.71428571429,92.1428571428571
"17530","60046","2018",1,1,0,100,0,119000,2333,51
"17531","60047","2018",5,5,0,100,0,289380,2645.8,117.6
"17532","60048","2018",1,1,0,100,0,210000,1167,180
"17533","60050","2018",3,3,0,100,0,206333.333333333,2226.66666666667,92.6666666666667
"17534","60051","2018",2,2,0,100,0,125675,1615.5,97.5
"17535","60053","2018",5,5,0,100,0,121440,2077,82.8
"17536","60054","2018",8,8,0,100,0,193906.25,1680.75,116.625
"17537","60055","2018",2,2,0,100,0,96000,1209.5,78
"17538","60057","2018",307,173,134,56.3517915309446,43.6482084690554,149316.244299674,1931.54071661238,78.185667752443
"17539","60058","2018",1,1,0,100,0,131000,1310,100
"17540","60059","2018",1,1,0,100,0,119800,1051,114
"17541","60060","2018",9,9,0,100,0,212333.333333333,2235,97.1111111111111
"17542","60061","2018",2,2,0,100,0,179500,1165,137.5
"17543","60062","2018",2,2,0,100,0,136000,1424.5,96.5
"17544","60063","2018",9,9,0,100,0,186988.888888889,2116.11111111111,103.333333333333
"17545","60064","2018",3,3,0,100,0,149250,1707,88.3333333333333
"17546","60065","2018",8,8,0,100,0,218293.75,2279.875,98.5
"17547","60066","2018",1,1,0,100,0,138000,1533,90
"17548","60067","2018",16,15,1,93.75,6.25,169937.5,2208.6875,80.0625
"17549","60068","2018",24,22,2,91.6666666666667,8.33333333333333,177504.166666667,1941.125,98.625
"17550","60069","2018",10,10,0,100,0,224660,2083.6,110
