"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2015",10,10,0,100,0,177600.1,1729.1,104.7
"2","01002","2015",5,5,0,100,0,184260,1189,154.6
"3","01004","2015",156,99,57,63.4615384615385,36.5384615384615,155901.442307692,1922.19230769231,83.6282051282051
"4","01005","2015",24,18,6,75,25,194855.625,1799.25,112.875
"5","01006","2015",2,0,2,0,100,82000,924,89
"6","01007","2015",18,17,1,94.4444444444444,5.55555555555556,154663.333333333,1641.05555555556,95.8333333333333
"7","01008","2015",13,13,0,100,0,186382.307692308,1596.23076923077,120.307692307692
"8","01009","2015",2,2,0,100,0,244300,1964,125
"9","01010","2015",25,21,4,84,16,170090,1912.88,95.56
"10","01011","2015",4,4,0,100,0,162500,1692.75,102
"11","01012","2015",2,2,0,100,0,148000,1990,77
"12","01013","2015",5,5,0,100,0,114877.4,1301.4,80
"13","01014","2015",29,23,6,79.3103448275862,20.6896551724138,150181.034482759,1569.79310344828,96.7586206896552
"14","01015","2015",5,5,0,100,0,181400,1356,148.2
"15","01016","2015",5,5,0,100,0,129224,1293.2,102.6
"16","01017","2015",6,5,1,83.3333333333333,16.6666666666667,97575.8333333333,1084.33333333333,88
"17","01019","2015",1,0,1,0,100,55000,743,74
"18","01021","2015",6,5,1,83.3333333333333,16.6666666666667,289500,2511.66666666667,116.333333333333
"19","01022","2015",8,8,0,100,0,149150,1741.875,87.625
"20","01023","2015",4,4,0,100,0,82750,946,91.25
"21","01024","2015",18,15,3,83.3333333333333,16.6666666666667,157722.222222222,1709.55555555556,92.2777777777778
"22","01025","2015",32,32,0,100,0,173622.8125,1602.34375,115.8125
"23","01026","2015",7,6,1,85.7142857142857,14.2857142857143,148567.857142857,1478.71428571429,102.857142857143
"24","01027","2015",12,10,2,83.3333333333333,16.6666666666667,214064.833333333,2350.91666666667,97.5
"25","01028","2015",6,6,0,100,0,198325,1784.83333333333,110.166666666667
"26","01029","2015",6,6,0,100,0,121666.666666667,972.833333333333,134.5
"27","01030","2015",8,4,4,50,50,113312.5,1579.375,71.25
"28","01031","2015",19,9,10,47.3684210526316,52.6315789473684,123629.473684211,1495.26315789474,78.1578947368421
