"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2016",7,7,0,100,0,225428.571428571,1994.71428571429,128.857142857143
"2","01002","2016",6,6,0,100,0,83261.6666666667,1105.66666666667,70.1666666666667
"3","01004","2016",138,90,48,65.2173913043478,34.7826086956522,165378.34057971,1864.51449275362,88.7536231884058
"4","01005","2016",25,18,7,72,28,188922.96,1909.52,102.08
"5","01007","2016",28,28,0,100,0,182799.321428571,1972.82142857143,95.3571428571429
"6","01008","2016",8,7,1,87.5,12.5,125887.5,1377.5,89.875
"7","01009","2016",2,2,0,100,0,280570,2437,115
"8","01010","2016",8,6,2,75,25,140961.25,1968.625,72.5
"9","01011","2016",3,2,1,66.6666666666667,33.3333333333333,144033.333333333,1977.66666666667,74.3333333333333
"10","01012","2016",4,4,0,100,0,107282.5,1399.5,88.25
"11","01013","2016",1,1,0,100,0,40000,465,86
"12","01014","2016",16,14,2,87.5,12.5,154146.875,1681.3125,88.875
"13","01015","2016",4,4,0,100,0,135250,1473.75,94.75
"14","01016","2016",3,3,0,100,0,134800,1480.66666666667,91.6666666666667
"15","01017","2016",7,5,2,71.4285714285714,28.5714285714286,88542.8571428571,1070.71428571429,90.2857142857143
"16","01019","2016",1,1,0,100,0,1e+05,2000,50
"17","01021","2016",13,10,3,76.9230769230769,23.0769230769231,183251.230769231,1989.92307692308,92.9230769230769
"18","01022","2016",11,11,0,100,0,154631.454545455,1617.36363636364,105.363636363636
"19","01024","2016",46,39,7,84.7826086956522,15.2173913043478,174544.5,1673.89130434783,109.891304347826
"20","01025","2016",36,35,1,97.2222222222222,2.77777777777778,172730.611111111,1659.38888888889,107.555555555556
"21","01026","2016",11,11,0,100,0,158935.909090909,1461.54545454545,114.818181818182
"22","01027","2016",15,13,2,86.6666666666667,13.3333333333333,235275.933333333,2639.26666666667,105.333333333333
"23","01028","2016",8,8,0,100,0,193812.5,1980.875,104
"24","01029","2016",5,5,0,100,0,124457.4,1199.6,107
"25","01030","2016",17,14,3,82.3529411764706,17.6470588235294,149569.588235294,1714,90.8235294117647
"26","01031","2016",24,6,18,25,75,108854.166666667,1466.5,70.9166666666667
"27","01032","2016",21,17,4,80.9523809523809,19.047619047619,218132.857142857,2237.42857142857,102.285714285714
"28","01033","2016",161,59,102,36.6459627329193,63.3540372670807,187434.602484472,2305.6149068323,81.6645962732919
"29","01034","2016",75,42,33,56,44,136463.986666667,1500.24,93.2133333333333
"30","01035","2016",1,1,0,100,0,95000,1188,80
"31","01036","2016",11,11,0,100,0,144410.909090909,1583.45454545455,98.7272727272727
"32","01037","2016",4,4,0,100,0,169375,1262.5,130.5
"33","01038","2016",4,4,0,100,0,134373.75,1096.5,132
"34","01040","2016",2,2,0,100,0,177125,1438.5,123
"35","01041","2016",5,5,0,100,0,171563,1779.6,103.4
"36","01042","2016",3,3,0,100,0,234883.333333333,1769.33333333333,142.333333333333
"37","01043","2016",58,49,9,84.4827586206897,15.5172413793103,281663.327586207,2693.94827586207,105.586206896552
"38","01044","2016",7,7,0,100,0,310617.142857143,2755,115.142857142857
"39","01045","2016",4,4,0,100,0,237880,2220,110
"40","01046","2016",6,6,0,100,0,207441.666666667,1593.16666666667,129.833333333333
"41","01047","2016",11,11,0,100,0,253950,2036,137.363636363636
"42","01049","2016",36,32,4,88.8888888888889,11.1111111111111,229345.472222222,2305.77777777778,107.944444444444
"43","01050","2016",1,1,0,100,0,203700,2079,98
"44","01051","2016",2,2,0,100,0,128000,1178,89.5
"45","01052","2016",7,7,0,100,0,204257.142857143,2128.71428571429,98.8571428571429
"46","01053","2016",484,123,361,25.4132231404959,74.5867768595041,129949.768595041,1666.76652892562,78.797520661157
"47","01054","2016",10,10,0,100,0,230324.9,2106.9,113
"48","01056","2016",3,3,0,100,0,161863.333333333,1494.33333333333,111.333333333333
"49","01057","2016",4,4,0,100,0,131367.5,1364.25,99.75
"50","01058","2016",8,8,0,100,0,106750,1469.5,75.125
"51","01060","2016",5,4,1,80,20,134816,1268.2,103.6
"52","01061","2016",15,12,3,80,20,170910,1770.86666666667,100.8
"53","01062","2016",16,13,3,81.25,18.75,248320.8125,2348.4375,106.5
"54","01063","2016",3,3,0,100,0,115000,1141,102.333333333333
"55","01064","2016",7,7,0,100,0,169871.428571429,1505.42857142857,117.428571428571
"56","01065","2016",17,16,1,94.1176470588235,5.88235294117647,196927.529411765,1766.29411764706,120
"57","01066","2016",5,4,1,80,20,64800,697.2,94.2
"58","01067","2016",2,2,0,100,0,82325,860,95.5
"59","01068","2016",4,4,0,100,0,127350,1213.75,110
"60","01069","2016",14,11,3,78.5714285714286,21.4285714285714,171156.428571429,1783.07142857143,95.5
"61","01071","2016",50,28,22,56,44,449683.26,4133.86,110.36
"62","01072","2016",35,28,7,80,20,213679.8,2030.6,103.828571428571
"63","01073","2016",11,10,1,90.9090909090909,9.09090909090909,144041.818181818,1480.81818181818,102.363636363636
"64","01074","2016",20,14,6,70,30,160408.5,1784.95,92.6
"65","01075","2016",8,8,0,100,0,241114.125,2733.25,98.625
"66","01076","2016",5,5,0,100,0,89620,1061.2,94.6
"67","01077","2016",2,2,0,100,0,108980,796.5,132.5
"68","01078","2016",16,7,9,43.75,56.25,414001.8125,3882.1875,112.625
"69","01079","2016",3,3,0,100,0,67166.6666666667,881.333333333333,75.3333333333333
"70","01080","2016",8,8,0,100,0,176983.75,1331.75,135.25
"71","01081","2016",5,5,0,100,0,260000,2851.8,106.6
"72","01082","2016",8,8,0,100,0,148062.5,1765,104
"73","01083","2016",7,7,0,100,0,239789.285714286,1808.28571428571,139.142857142857
"74","01084","2016",9,9,0,100,0,153783.444444444,1543.55555555556,99
"75","01085","2016",2,2,0,100,0,1e+05,924,109.5
"76","01087","2016",5,3,2,60,40,121100,1230.6,107.6
"77","01088","2016",10,7,3,70,30,201032.8,2129.6,91.1
"78","01089","2016",16,15,1,93.75,6.25,186511.875,1791.375,105.25
"79","01090","2016",3,3,0,100,0,130333.333333333,1754,85.6666666666667
"80","01092","2016",16,16,0,100,0,193493.75,1765.625,108.875
"81","01093","2016",65,44,21,67.6923076923077,32.3076923076923,174067.892307692,1973.73846153846,91.2769230769231
"82","01094","2016",2,2,0,100,0,95000,838.5,110.5
"83","01095","2016",6,6,0,100,0,96059.5,977.166666666667,94.3333333333333
"84","01096","2016",7,7,0,100,0,181465.714285714,1590,116.142857142857
"85","01098","2016",8,8,0,100,0,138073.5,1441.25,100
"86","01099","2016",11,11,0,100,0,181439.454545455,1587.36363636364,115.909090909091
"87","01100","2016",1,1,0,100,0,86800,1315,66
"88","01101","2016",1,1,0,100,0,183000,2011,91
"89","01102","2016",8,8,0,100,0,193925,1558.875,130.5
"90","01103","2016",28,14,14,50,50,390329.285714286,3921.10714285714,96.8571428571429
"91","01104","2016",6,5,1,83.3333333333333,16.6666666666667,150925,1875.66666666667,71.8333333333333
"92","01105","2016",11,9,2,81.8181818181818,18.1818181818182,274624.545454545,2504.45454545455,111.636363636364
"93","01106","2016",3,3,0,100,0,106228.333333333,1350,73.6666666666667
"94","01107","2016",3,3,0,100,0,168933.333333333,1266.33333333333,137
"95","01108","2016",11,11,0,100,0,134219.090909091,1357.09090909091,101.181818181818
"96","01109","2016",33,28,5,84.8484848484848,15.1515151515152,335881.333333333,3299.06060606061,112.666666666667
"97","01110","2016",5,5,0,100,0,137539,1239.8,127.8
"98","01111","2016",3,3,0,100,0,142300,2059.66666666667,75
"99","01112","2016",4,4,0,100,0,173125,1473.75,119
"100","01113","2016",11,11,0,100,0,198866.363636364,1646.09090909091,126
"101","01114","2016",3,3,0,100,0,126666.666666667,1465.33333333333,79.3333333333333
"102","01115","2016",7,7,0,100,0,150691.428571429,1498.42857142857,103.285714285714
"103","01116","2016",7,6,1,85.7142857142857,14.2857142857143,148474.285714286,1520.14285714286,99.5714285714286
"104","01117","2016",3,3,0,100,0,95000,1270,73
"105","01118","2016",10,8,2,80,20,157050,2445.6,80.1
"106","01121","2016",1,1,0,100,0,120000,1290,93
"107","01123","2016",6,6,0,100,0,183808.333333333,1529.33333333333,118.333333333333
"108","01124","2016",7,7,0,100,0,134174.857142857,1254.57142857143,111.714285714286
"109","01125","2016",9,9,0,100,0,120962.222222222,1031.11111111111,112.666666666667
"110","01127","2016",8,8,0,100,0,100900,1289.75,85.25
"111","01128","2016",2,2,0,100,0,173000,1480,116.5
"112","01129","2016",3,3,0,100,0,98333.3333333333,1159.33333333333,79
"113","01130","2016",18,18,0,100,0,194629.722222222,1734.22222222222,112.444444444444
"114","01133","2016",3,3,0,100,0,229150,2125,114
"115","01134","2016",15,14,1,93.3333333333333,6.66666666666667,181710,1636.93333333333,110.4
"116","01135","2016",18,13,5,72.2222222222222,27.7777777777778,559391.111111111,4655.83333333333,130.166666666667
"117","01136","2016",9,8,1,88.8888888888889,11.1111111111111,160765.555555556,1580.33333333333,102.444444444444
"118","01138","2016",28,22,6,78.5714285714286,21.4285714285714,129176.607142857,1515.96428571429,86.3571428571429
"119","01139","2016",7,7,0,100,0,114142.857142857,1337.71428571429,88.2857142857143
"120","01140","2016",6,6,0,100,0,169811.666666667,1674,105
"121","01141","2016",4,4,0,100,0,164462.5,2017,81.5
