,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
259,,ATMO,,2,FR20013,ZAG LYON,2018-10-19 23:00:00,2018,10,,4
260,,ATMO,,0,FR12004,ZAG TOULOUSE,2018-10-23 23:00:00,2018,10,,4
261,,ATMO,,0,FR26005,ZAR DIJON,2018-10-12 23:00:00,2018,10,,4
262,,ATMO,,0,FR35002,ZR NOUVELLE-AQUITAINE,2018-10-24 22:00:00,2018,10,,4
263,,ATMO,,0,FR37001,ZAG POINTE-A-PITRE,2018-10-24 23:00:00,2018,10,,4
264,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-03 23:00:00,2018,10,,4
265,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-24 23:00:00,2018,10,,4
266,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-24 23:00:00,2018,10,,4
267,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-25 23:00:00,2018,10,,4
268,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-10-25 23:00:00,2018,10,,4
269,,ATMO,,1,FR07004,ZAG CLERMONT-FERRAND,2018-08-01 23:00:00,2018,8,,3
270,,ATMO,,0,FR06001,ZAG BLDV,2018-01-22 23:00:00,2018,1,,1
271,,ATMO,,0,FR28010,ZAG BLDV,2018-04-05 23:00:00,2018,4,,2
272,,ATMO,,0,FR06001,ZAG BLDV,2018-06-09 23:00:00,2018,6,,2
273,,ATMO,,0,FR12004,ZAG TOULOUSE,2018-10-09 23:00:00,2018,10,,4
274,,ATMO,,0,FR37001,ZAG POINTE-A-PITRE,2018-10-23 23:00:00,2018,10,,4
275,,ATMO,,0,FR02001,ZAG MARSEILLE-AIX,2018-10-26 05:00:00,2018,10,,4
276,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-25 23:00:00,2018,10,,4
277,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-25 23:00:00,2018,10,,4
278,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-10-26 23:00:00,2018,10,,4
279,,ATMO,,0,FR36001,ZAR VALLEE-DU-RHONE,2018-10-26 04:00:00,2018,10,,4
280,,ATMO,,0,FR10004,ZAR COTE-D-OPALE,2018-10-23 23:00:00,2018,10,,4
281,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-26 05:00:00,2018,10,,4
282,,ATMO,,0,FR04002,ZAG PARIS,2018-10-18 23:00:00,2018,10,,4
283,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-10-26 23:00:00,2018,10,,4
284,,ATMO,,0,FR08617,ZAR NIMES,1970-01-01 00:00:00,1970,1,,1
285,,ATMO,,0,FR31008,ZR NOUVELLE-AQUITAINE,2018-08-27 23:00:00,2018,8,,3
286,,ATMO,,0,FR33101,ZAR PAYS-DE-SAVOIE,2018-09-13 23:00:00,2018,9,,3
287,,ATMO,,0,FR41001,ZAR AJACCIO,2018-10-19 23:00:00,2018,10,,4
288,,ATMO,,0,FR02001,ZAG MARSEILLE-AIX,2018-10-27 23:00:00,2018,10,,4
289,,ATMO,,0,FR06001,ZAG BLDV,2018-10-29 13:00:00,2018,10,,4
290,,ATMO,,1,FR30016,ZAG NANCY,2018-10-11 23:00:00,2018,10,,4
291,,ATMO,,0,FR30016,ZAG NANCY,2018-10-21 23:00:00,2018,10,,4
292,,ATMO,,0,FR07004,ZAG CLERMONT-FERRAND,2018-10-28 23:00:00,2018,10,,4
293,,ATMO,,0,FR35002,ZR NOUVELLE-AQUITAINE,2018-10-30 06:00:00,2018,10,,4
294,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-29 23:00:00,2018,10,,4
295,,ATMO,,0,FR14008,ZR GRAND-EST,2018-09-23 23:00:00,2018,9,,3
